serial_number,qid,intermediate_lang,query,translated,sample
11,QA20CAPR-0005,フランス語,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,「殺し屋コメンダトーレ」「1Q84」「ノルウェイの森」などの小説の著者は誰ですか？」,村上春樹
12,QA20CAPR-0005,ドイツ語,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,「殺し屋コメンダトーレ」「1Q84」「ノルウェイの森」などの小説の著者は誰ですか？」,村上春樹
13,QA20CAPR-0005,イタリア語,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,「殺し屋コメンダトーレ」「1Q84」「ノルウェイの森」などの小説の著者は誰ですか？」,村上春樹
14,QA20CAPR-0005,韓国語,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,「騎士団長殺し」「1Q84」「ノルウェイの森」などの小説の著者は誰ですか？」,村上春樹
15,QA20CAPR-0005,ポルトガル語,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,「殺し屋コメンダトーレ」「1Q84」「ノルウェイの森」などの小説の著者は誰ですか？」,村上春樹
16,QA20CAPR-0005,ロシア語,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,「騎士団チーム殺人事件」、「1Q84」、そして「ノルウェイの森」といった小説の著者は誰ですか？」,村上春樹
17,QA20CAPR-0005,スペイン語,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,「殺し屋コメンダトーレ」「1Q84」「ノルウェイの森」などの小説の著者は誰ですか？」,村上春樹
18,QA20CAPR-0007,英語,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,サッカーにおいて、コーナーキックやフリーキックなどの停止した状態からゲームが始まるプレーは何と呼ばれますか？,ゴールキック(goal kick)またはゴールキックオフ(goal kick off)と呼ばれています。
19,QA20CAPR-0007,中国語,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,サッカーマッチにおいて、停止した状態から始まるゲームアクションの名前は何ですか？例えば、コーナーキックやフリーキックなどです。,サッカーマッチにおけるゲームアクションには、コーナーキック、フリーキック、ゴールキックがあります。これらのアクションは、ボールをゴールに蹴り込むために使用されます。サッカーマッチでは、ボールをゴールに蹴り込むことが重要な要素であるため、ゲームアクションはしばしばゴールキックと呼ばれています。
20,QA20CAPR-0007,フランス語,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,フットボールにおいて、コーナーキックやフリーキックなどの停止した位置からゲームが始まるプレーのフェーズの名前は何ですか？,ゴールキック(Goal-K)。
21,QA20CAPR-0007,ドイツ語,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,フットボールにおいて、コーナーキックやフリーキックなど、ゲームが停止した状態から始まるゲームアクションの名前は何ですか？,タッチダウンパス。
22,QA20CAPR-0007,イタリア語,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,フットボールにおいて、コーナーキックやフリーキックなど、静止した位置からゲームが始まるプレーの名前は何ですか？,ゴールキック。
23,QA20CAPR-0007,韓国語,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,サッカーにおいて、コーナーキックやフリーキックなどの静止した位置からゲームが始まる際に行われるプレーは何と呼ばれますか？,ゴールキック(goal kick)。
24,QA20CAPR-0007,ポルトガル語,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,フットボールにおいて、コーナーキックやフリーキックなどの静止した位置からゲームが始まるプレーの名前は何ですか？,ゴールキック。
25,QA20CAPR-0007,ロシア語,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,コーナーキックやフリーキックなど、ゲームが停止した状態から始まるサッカーの試合でのゲームの名前は何ですか？,ゴールキックオフ(ゴールキック)。
26,QA20CAPR-0007,スペイン語,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,サッカーにおいて、コーナーキックやフリーキックなど、静止した位置からゲームが始まるプレーの名前は何ですか？,ゴールキック。
27,QA20CAPR-0009,英語,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,宇宙の始まりを示すと言われる、約140億年前に起こった大爆発の名前は何ですか？,ビッグバン。
28,QA20CAPR-0009,中国語,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,宇宙の始まりとされる爆発の名前は何で、約140億年前に起こったと信じられていますか？,ビッグバンです。
29,QA20CAPR-0009,フランス語,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,宇宙の始まりを示すと言われる、約140億年前に起こった大爆発の名前は何ですか？,ビッグバン。
30,QA20CAPR-0009,ドイツ語,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,宇宙の始まりを示すと言われる、約140億年前に起こった大爆発の名前は何ですか？,ビッグバン。
31,QA20CAPR-0009,イタリア語,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,宇宙の始まりを示すと言われる、約140億年前に起こった大爆発の名前は何ですか？,ビッグバン。
32,QA20CAPR-0009,韓国語,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,宇宙の始まりを示すと言われる大爆発の名前は何ですか？それは約140億年前に起こりました。,ビッグバンです。
33,QA20CAPR-0009,ポルトガル語,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,宇宙の始まりを示すと言われる、約140億年前に起こった大爆発の名前は何ですか？,ビッグバン。
34,QA20CAPR-0009,ロシア語,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,宇宙の始まりとされる、約140億年前に起こったと言われる大爆発の名前は何ですか？,ビッグバン。
35,QA20CAPR-0009,スペイン語,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,宇宙の始まりを示すと言われる、約140億年前に起こった大爆発の名前は何ですか？,ビッグバン。
36,QA20CAPR-0011,英語,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,水が表面積を最小化するために発揮する力は何と呼ばれ、それによって水面を滑ることができるのでしょうか？,摩擦抵抗。 摩擦とは、物体間の接触面に生じる力です。摩擦抵抗とは、物体間の接触面に生じる力であり、摩擦とは、物体間の接触面に生じる力です。摩擦抵抗とは、物体間の接触面に生じる力です。
37,QA20CAPR-0011,中国語,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,水が表面積を最小化し、水面上を滑ることを可能にする液体が発生する力は何と呼ばれますか？,摩擦力です。
38,QA20CAPR-0011,フランス語,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,水が表面を最小化するために発揮する力で、水面を滑ることを可能にするものは何と呼ばれていますか？,摩擦抵抗。
39,QA20CAPR-0011,ドイツ語,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,水が表面を最小化し、水棲昆虫が水面を滑ることを可能にする力は何と呼ばれていますか？,摩擦抵抗。
40,QA20CAPR-0011,イタリア語,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,水が表面を最小化するために発揮する力で、水生昆虫が水面を滑ることを可能にする力は何と呼ばれていますか？,流水抵抗力(りゅうすいていこうりょく)。
41,QA20CAPR-0011,韓国語,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,水の表面積を最小化する力は何と呼ばれ、水面を滑ることを可能にする力は何ですか？,摩擦抵抗。摩擦とは、物体間の相互作用によって生じる力です。水の場合、摩擦とは、水の表面での運動エネルギーの損失と、物体間の運動量の交換の結果です。摩擦抵抗は、水の表面での運動量保存則に関係しています。
42,QA20CAPR-0011,ポルトガル語,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,水が表面積を最小化するために発揮する力で、水面を滑ることを可能にするものは何と呼ばれていますか？,摩擦抵抗。
43,QA20CAPR-0011,ロシア語,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,水が表面を最小化するために発揮する力の名前は何ですか？これにより、ウォーターストライダーは水の表面を滑ることができますか？,摩擦抵抗。摩擦とは、物体間の相互作用です。摩擦により、物体間に力が生じます。摩擦抵抗とは、物体間の相互作用の強さです。摩擦抵抗は、摩擦係数に比例します。摩擦係数とは、物体間の摩擦の強さを表す尺度です。摩擦抵抗は、摩擦係数と密接な関係があります。
44,QA20CAPR-0011,スペイン語,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,水が表面積を最小化するために発揮する力の名前は何ですか？これにより靴職人は水の表面を滑ることができますか？,摩擦係数。摩擦とは、物体間の接触によって生じる力です。摩擦係数が低いほど、物体間の摩擦が少なくなります。水は、表面の小さな粒子や汚れを洗い流すために、摩擦係数が高い傾向があります。これにより、靴職人は水の表面を滑らかに滑ることができるようになります。
45,QA20CAPR-0013,英語,日本では有明海と八代海のみに生息するハゼ科の魚で、作家・畑正憲の愛称にもなっているのは何でしょう?,日本の有明海と八代海にのみ生息する、ゴビー科の魚であり、また作家の畑正憲のあだ名でもある魚は何ですか？,ムツゴロウ 日本の有明海と八代海にのみ生息する、ゴビー科の魚で、作家の畑正憲のあだ名でもあります。ムツゴロウは、日本固有種で、有明海と八代海にしか生息していません。
46,QA20CAPR-0013,中国語,日本では有明海と八代海のみに生息するハゼ科の魚で、作家・畑正憲の愛称にもなっているのは何でしょう?,日本の有明海と八代海にしか生息しない、また作家の畠山昌則のあだ名でもある魚は何ですか？,ムツゴロウ 日本の固有種で、有明海と八代海のみに生息しています。ムツゴロウは、有明海や八代海の干潟や川岸の潮間帯に広く見られます。
47,QA20CAPR-0013,フランス語,日本では有明海と八代海のみに生息するハゼ科の魚で、作家・畑正憲の愛称にもなっているのは何でしょう?,日本の有明海と八代海にのみ生息する、また作家の畑正憲のあだ名でもあるゴビー魚は何ですか？,マンタレイフィッシュ
48,QA20CAPR-0013,ドイツ語,日本では有明海と八代海のみに生息するハゼ科の魚で、作家・畑正憲の愛称にもなっているのは何でしょう?,日本の有明海と八代海にしか生息しない、ゴビー科の魚であり、また作家の畑正憲の愛称でもある魚は何ですか？,マンタレイフィッシュ
49,QA20CAPR-0013,イタリア語,日本では有明海と八代海のみに生息するハゼ科の魚で、作家・畑正憲の愛称にもなっているのは何でしょう?,日本の有明海と八代海にのみ生息する、ゴビー科の魚であり、また作家の畑正憲のあだ名でもある魚は何ですか？,ムツゴロウ 日本の有明海と八代海にのみ生息する、ゴビー科の魚で、作家の畑正憲のあだ名でもあります。ムツゴロウは、日本固有種で、有明海と八代海にしか生息していません。
50,QA20CAPR-0013,韓国語,日本では有明海と八代海のみに生息するハゼ科の魚で、作家・畑正憲の愛称にもなっているのは何でしょう?,日本の有明海と八代海に生息する、また作家の畑正憲とも呼ばれる、ゴビウオ科に属する魚の種のニックネームは何ですか？,マンタレイフィッシュ
51,QA20CAPR-0013,ポルトガル語,日本では有明海と八代海のみに生息するハゼ科の魚で、作家・畑正憲の愛称にもなっているのは何でしょう?,日本の有明海と八代海にのみ生息するゴビウオの種類であり、また作家の畑正憲の愛称でもあるものは何ですか？,マンタレイ・フィッシュ(マンタ)。
52,QA20CAPR-0013,ロシア語,日本では有明海と八代海のみに生息するハゼ科の魚で、作家・畑正憲の愛称にもなっているのは何でしょう?,日本の有明海と八代海にのみ生息する、また作家の畑正憲の愛称でもある、ゴビー科の魚は何ですか？,ムツゴロウ 日本の有明海と八代海にのみ生息する、また作家の畑正憲の愛称でもある、ゴビー科の魚は、ムツゴロウです。
53,QA20CAPR-0013,スペイン語,日本では有明海と八代海のみに生息するハゼ科の魚で、作家・畑正憲の愛称にもなっているのは何でしょう?,日本の有明海と八代海にのみ生息する、また作家の畑正憲のあだ名でもある、ゴビウオとは何ですか？,マンタです。
54,QA20CAPR-0015,英語,日本では1990年前後に訪れた、不動産や株などの価格が実態とかけ離れて高騰していく経済のことを、泡を意味する言葉から何経済というでしょう?,バブル経済という言葉は、1990年代後半の日本における経済現象を表すために使用される用語であり、不動産や株式などの資産価格が実際の価値から乖離し、急騰した状態を指します。,バブル経済とは、不動産や株式などの資産価格が実際の価値から乖離し、急速に上昇した状態を指す言葉です。
55,QA20CAPR-0015,中国語,日本では1990年前後に訪れた、不動産や株などの価格が実態とかけ離れて高騰していく経済のことを、泡を意味する言葉から何経済というでしょう?,1990年代後半に、実際の価値から切り離された不動産や株式などの資産価格が急騰する経済現象について、日本語で何と呼ばれる用語ですか？この用語は、「バブル」という言葉に由来しています。,金融危機後の日本の不動産価格の上昇
56,QA20CAPR-0015,フランス語,日本では1990年前後に訪れた、不動産や株などの価格が実態とかけ離れて高騰していく経済のことを、泡を意味する言葉から何経済というでしょう?,バブル経済という言葉は、1990年代後半の日本における経済現象を表す用語であり、不動産や株式などの資産価格が実際の価値から乖離し、急騰したことを指します。この言葉は「バブル」という意味の言葉に由来しています。,バブルとは、不動産や株式などの資産価格が実際の価値から乖離し、急騰した状態のことです。
57,QA20CAPR-0015,ドイツ語,日本では1990年前後に訪れた、不動産や株などの価格が実態とかけ離れて高騰していく経済のことを、泡を意味する言葉から何経済というでしょう?,バブル経済という言葉は、1990年代後半の日本における経済現象を表す用語であり、不動産や株式などの資産価格が実際の価値から乖離し、急騰した状態を指します。この言葉は「バブル」という意味の言葉に由来しています。,バブルとは、不動産や株式などの資産価格が実際の価値から乖離し、急騰した状態を指す言葉です。バブルとは、不動産や株式などの資産価格が実際の価値から乖離し、急騰した状態を指します。
58,QA20CAPR-0015,イタリア語,日本では1990年前後に訪れた、不動産や株などの価格が実態とかけ離れて高騰していく経済のことを、泡を意味する言葉から何経済というでしょう?,バブル経済と呼ばれる言葉は、1990年代後半の日本における経済現象を表すもので、不動産や株式などの商品の価格が実際の価値から乖離し、急騰したことを指します。,バブルとは、不動産や株式などの商品の価格が実際の価値から乖離し、急速に上昇した経済現象です。
59,QA20CAPR-0015,韓国語,日本では1990年前後に訪れた、不動産や株などの価格が実態とかけ離れて高騰していく経済のことを、泡を意味する言葉から何経済というでしょう?,「バブル」という言葉に由来し、不動産や株式などの資産価格が実際の価値から逸脱し、急騰した、1990年代後半の日本における経済現象を表す用語は何ですか？」,金融危機後の日本の不動産市場におけるバブル崩壊後、不動産価格の大幅な下落により、多くの人々が深刻な経済的苦難に直面しました。この状況を「失われた10年」と呼び、日本政府が景気後退とデフレ政策を推進した時期です。この時期には、不動産投資や住宅ローンの借り入れが大幅に減少し、不動産価格が大幅に低下しました。
60,QA20CAPR-0015,ポルトガル語,日本では1990年前後に訪れた、不動産や株などの価格が実態とかけ離れて高騰していく経済のことを、泡を意味する言葉から何経済というでしょう?,1990年代後半の日本における経済現象を表す用語は何であり、不動産や株式などの資産価格が実際の価値から乖離し、バブルという意味の言葉に由来して急騰したことを説明していますか？,失われた10年。
61,QA20CAPR-0015,ロシア語,日本では1990年前後に訪れた、不動産や株などの価格が実態とかけ離れて高騰していく経済のことを、泡を意味する言葉から何経済というでしょう?,"1990年代後半の日本における経済現象を表す用語は何ですか？この現象は、不動産や株式などの資産価格が急速に上昇し、実際の価値から切り離され、""バブル""という言葉に由来しています。",金融危機後の日本の不動産市場の崩壊により、不動産価格が急激に上昇しました。これにより、多くの人々が住宅ローンを返済できなくなりました。その後、政府は不良債権処理に取り組み、不動産価格を大幅に低下させました。
62,QA20CAPR-0015,スペイン語,日本では1990年前後に訪れた、不動産や株などの価格が実態とかけ離れて高騰していく経済のことを、泡を意味する言葉から何経済というでしょう?,1990年代後半の日本における経済現象を表す用語は何でしょうか？この現象では、不動産や株式などの資産価格が実際の価値から乖離し、急騰したものであり、それは「バブル」という言葉に由来しています。,金融危機後の日本の不動産市場における大幅な上昇と下落。バブルとは、不動産や株式などの資産価格が実際の価値から乖離し、急激に上昇または低下する現象です。
63,QA20CAPR-0017,英語,ウォーターゲート事件によって辞任に追い込まれた、時のアメリカ大統領は誰でしょう?,ウォーターゲート事件により辞任を余儀なくされた当時のアメリカ合衆国大統領は誰でしたか？,ジェラルド・フォード。
64,QA20CAPR-0017,中国語,ウォーターゲート事件によって辞任に追い込まれた、時のアメリカ大統領は誰でしょう?,ウォーターゲート事件により辞任を余儀なくされた際、アメリカ合衆国の大統領は誰でしたか？,ジェラルド・フォード。
65,QA20CAPR-0017,フランス語,ウォーターゲート事件によって辞任に追い込まれた、時のアメリカ大統領は誰でしょう?,ウォーターゲート事件により辞任を余儀なくされた当時のアメリカ合衆国大統領は誰でしたか？,ジェラルド・フォード。
66,QA20CAPR-0017,ドイツ語,ウォーターゲート事件によって辞任に追い込まれた、時のアメリカ大統領は誰でしょう?,ウォーターゲート事件により辞任を余儀なくされたアメリカ合衆国の大統領は誰でしたか？,ジェラルド・フォード。
67,QA20CAPR-0017,イタリア語,ウォーターゲート事件によって辞任に追い込まれた、時のアメリカ大統領は誰でしょう?,ウォーターゲート事件により辞任を余儀なくされたアメリカ合衆国の大統領は誰でしたか？,ジェラルド・フォード。
68,QA20CAPR-0017,韓国語,ウォーターゲート事件によって辞任に追い込まれた、時のアメリカ大統領は誰でしょう?,ウォーターゲート事件により辞任を余儀なくされたアメリカ大統領は誰でしたか？,リチャード・ニクソン アメリカ合衆国国務長官。ウォーターゲート事件により、職務を果たせなくなったとして、辞任に追い込まれた。
69,QA20CAPR-0017,ポルトガル語,ウォーターゲート事件によって辞任に追い込まれた、時のアメリカ大統領は誰でしょう?,ウォーターゲート事件により辞任を余儀なくされた当時のアメリカ大統領は誰でしたか？,ジェラルド・フォード。
70,QA20CAPR-0017,ロシア語,ウォーターゲート事件によって辞任に追い込まれた、時のアメリカ大統領は誰でしょう?,ウォーターゲート事件により辞任を余儀なくされたアメリカ合衆国の大統領は誰でしたか？,ジェラルド・フォード。
71,QA20CAPR-0017,スペイン語,ウォーターゲート事件によって辞任に追い込まれた、時のアメリカ大統領は誰でしょう?,ウォーターゲート事件により辞任を余儀なくされたアメリカ合衆国の大統領は誰でしたか？,ジェラルド・フォード。
72,QA20CAPR-0019,英語,宋の杜黙の詩が律に合っていなかったことに由来する、誤りが多くていいかげんなことを表す言葉は何でしょう?,宋詞の詩がリズムのルールに従わなかったことから派生した、多くの間違いと不注意を表す言葉は何ですか？,「詩のリズム」とは、宋詞の詩がリズムの規則に従っていなかったことから派生した、多くの間違いや不注意を指す言葉です。代表的なものとしては、「詩のリズムを無視する」「詩のリズムを乱す」「詩のリズムを無視する」「詩のリズムを乱す」「詩のリズムを乱す」「詩のリズムを乱す」「詩のリズムを乱す」「詩のリズムを乱す」「詩のリズムを乱す」「詩のリズムを乱す」「詩のリズムを乱す」「詩のリズムを乱す」「詩のリズムを乱す」「詩のリズムを乱
73,QA20CAPR-0019,中国語,宋の杜黙の詩が律に合っていなかったことに由来する、誤りが多くていいかげんなことを表す言葉は何でしょう?,宋杜牧の詩が韻律のルールに従わず、多くの間違いや手抜きがある状況を表す言葉は何ですか？,「詩の欠陥」とは、宋杜牧の詩が韻律のルールに従っておらず、多くの間違いや手抜きがあることを表現します。この言葉は、宋杜牧の詩がしばしば規則正しく書かれていないことを指します。
74,QA20CAPR-0019,フランス語,宋の杜黙の詩が律に合っていなかったことに由来する、誤りが多くていいかげんなことを表す言葉は何でしょう?,宋度牧の詩がリズムのルールに従わなかったことから生じた、数多くのエラーや手抜き作業を表す言葉は何ですか？,「宋度牧の詩はリズムのルールに従わず、多くの手抜き作業があった」という意味で、最も適切な表現は「宋度牧の詩はリズムのルールに従っていなかった」です。
75,QA20CAPR-0019,ドイツ語,宋の杜黙の詩が律に合っていなかったことに由来する、誤りが多くていいかげんなことを表す言葉は何でしょう?,宋詞杜牧の詩がリズムのルールに従わなかったことから派生した、多くの間違いと手抜き仕事を表す言葉は何ですか？,「手抜き」とは、手抜きな仕事をすることを意味します。この言葉は、手抜きな仕事をする人に対して使われることがあります。また、手抜きな仕事をする人に対しても使われます。手抜きの仕事とは、手抜きな仕事をすることです。
76,QA20CAPR-0019,イタリア語,宋の杜黙の詩が律に合っていなかったことに由来する、誤りが多くていいかげんなことを表す言葉は何でしょう?,宋度牧の詩がリズムのルールに従わなかったことから派生した、多くの間違いと不注意な仕事を表す言葉は何ですか？,「宋度牧の詩はリズムのルールに従わず、多くの間違いや不注意な仕事を生み出しました。」という意味です。この表現は、宋度牧の詩がリズムのルールに従わず、多くの間違いや不注意な仕事を生み出したことにより、多くの間違いや不注意な仕事が生まれたことを示しています。
77,QA20CAPR-0019,韓国語,宋の杜黙の詩が律に合っていなかったことに由来する、誤りが多くていいかげんなことを表す言葉は何でしょう?,松杜牧の詩のリズムのルールに従わないため、多くのエラーや不器用な仕事を表す言葉は何ですか？,「手抜き」。 松杜牧の詩のリズムのルールに従わないために、多くのエラーや不器用な仕事を表す言葉として、「手抜き」があります。
78,QA20CAPR-0019,ポルトガル語,宋の杜黙の詩が律に合っていなかったことに由来する、誤りが多くていいかげんなことを表す言葉は何でしょう?,宋詞の詩がリズムのルールに従っていなかったことから派生した、多くの間違いと不注意な仕事を表す言葉は何ですか？,「宋詞」とは、中国の伝統的な詩の一種です。宋詞は、韻律やリズムの規則に従わず、しばしば誤った発音や文法的誤りを含んでいます。この詩は、中国で非常に人気があり、今日でも広く読まれています。宋詞は、中国の文化や伝統において重要な役割を果たしており、多くの文学作品や芸術作品に影響を与えています。
79,QA20CAPR-0019,ロシア語,宋の杜黙の詩が律に合っていなかったことに由来する、誤りが多くていいかげんなことを表す言葉は何でしょう?,孫度牧の詩がリズムのルールに従わなかったために生じた、間違いと不注意な仕事の集合を示す言葉は何ですか？,失敗作。
80,QA20CAPR-0019,スペイン語,宋の杜黙の詩が律に合っていなかったことに由来する、誤りが多くていいかげんなことを表す言葉は何でしょう?,宋度牧の詩が規則に従わなかったために生じた多くの間違いと不注意な仕事を表す言葉は何ですか？,「宋度牧の規則違反」とは、宋度牧が規則に従わずに詩を書いたことを意味します。この規則違反により、多くの誤りや不備が生じました。これらの規則違反には、文法の誤り、スペルミス、句読点の欠落などが含まれます。
81,QA20CAPR-0021,英語,毎年7月に「北海へそ祭り」が開催される、ラベンダー畑で有名な北海道の都市はどこでしょう?,北海道のラベンダー畑で有名な都市で、毎年7月に「北海へそ祭り」を開催しているのはどの都市ですか？,富良野市です。
82,QA20CAPR-0021,中国語,毎年7月に「北海へそ祭り」が開催される、ラベンダー畑で有名な北海道の都市はどこでしょう?,北海道のラベンダー畑で有名な都市で、毎年7月に「北海へそ祭り」を開催しているのはどの都市ですか？,富良野市です。
