serial_number,qid,query,sample
10,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『マルコ・ポーロ』は、イタリアのヴェネツィア出身の作家ルスティケロによる歴史小説です。彼は、16世紀初頭にイタリアを訪れた有名な探検家マルコ・ポーロから、彼の旅や見聞きしたことをまとめました。この作品は、広く読まれ、世界的なベストセラーとなりました。
11,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,「東方見聞録」です。
12,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』です。
13,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『マルコ・ポーロの大航海』です。彼は16世紀後半に生き、ヴェネツィアや中国などの国々を訪れました。彼はまた、スペインの植民地化についても話しています。この作品は、マルコ・ポーロの旅行記を読んだルスティケロによる著作で、彼のスペイン植民地化についての考えが示されています。
14,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『マルコ・ポーロの冒険』です。この作品は、イタリアやスペインなどの国々を旅したマルコ・ポーロの体験を、彼の友人や家族に書き留められた手記や手紙に基づいて描いています。
15,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』です。
16,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』です。
17,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『黄金の島』です。この作品は、マルコ・ポーロの旅行記に描かれた黄金の国ジパングに関する物語を、イタリアの作家ルスティケロがまとめたものです。彼は、マルコ・ポーロが実際に日本を訪れたという証拠はないと主張しています。しかし、マルコ・ポーロが中国や日本を旅した可能性があり、その旅の中で日本の文化や風習に触れ、そこから得た知識を自身の作品に反映させた可能性があるとも述べています。
18,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』です。
19,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,コルンバヌス・マグナカルタ(1215年)。彼は、教皇による独裁的な支配に反対する反乱に立ち上がったイングランドの騎士であり、後に教皇によって処刑されました。彼は、イギリスに亡命したイタリアの貴族であるコロンブスから、スペイン帝国との貿易に関する重要な条約であるコルンバヌス・マグナカルタの重要性を聞いていました。ルスティケロは、この条約がカトリック国家とスペインの植民地主義的な関係に対する重要な転換点になったと述べています。
20,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『マルコ・ポーロ』は、イタリアの作家ルスティケロによる、マルコ・ポーロに関する著作です。この本は、マルコ・ポーロの伝記や彼の旅の体験を広く紹介しています。
21,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』です。
22,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』です。
23,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『マルコ・ポーロの大航海』です。この本は、マルコ・ポーロの旅行記や他の資料に基づいて書かれています。また、マルコ・ポーロによる中国や日本への旅も含まれています。
24,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,黄金の島 イタリア/ヴェネツィア/マルコ・ポーロ/黄金の島 イタリア/ヴェネツィア/マルコ・ポーロ/黄金の島 イタリア/ヴェネツィア/マルコ・ポーロ/黄金の島 イタリア/ヴェネツィア/マルコ・ポーロ/黄金の島 イタリア/ヴェネツィア/マルコ・ポーロ/黄金の島 イタリア/ヴェネツィア/マルコ・ポーロ/黄金の島 イタリア/ヴェネツィア/マルコ・ポーロ/黄金の島 イタリア/ヴェネツィア/マルコ・ポーロ/黄金の島 イタリア/ヴェネツィア/マルコ・ポーロ/黄金の島 イタリア/ヴェネツィア/マルコ・ポーロ/黄金の島 イタリア/ヴェネツィア/マルコ
25,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』です。
26,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』です。
27,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』。マルコ・ポーロは、1453年から1547年まで中国に滞在し、多くの貴重な情報を収集しました。ルスティケロは、その旅を彼の著作の中心的なテーマとして扱いました。『東方見聞録』は、東洋に関する重要な情報源であり、ヨーロッパ人による中国への旅行の重要な記録です。
28,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』。マルコ・ポーロは、東方見聞録の中で、インドや中国などアジアの国々について書きました。ルスティケロは、これらの国々を訪れたマルコ・ポーロに同行し、旅の途中で多くのことを聞き取りました。この本は、マルコ・ポーロによる旅行記として広く認知されています。
29,QA20CAPR-0003,作家のルスティケロが、マルコ・ポーロから聞いた話をまとめた作品といえば何でしょう?,『東方見聞録』です。
30,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹
31,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹
32,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹氏。彼は日本の小説家、作家、エッセイストです。『騎士団長殺し』は彼の最高傑作とされています。 『ノルウェイの森』は彼の中期の代表作であり、世界的なベストセラーとなりました。
33,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹。彼は世界的なベストセラー作家として広く認知されており、多数の賞を受賞しています。彼の作品は、日本の文学や文化に強い影響を与えています。『騎士団長殺し』は、スペインの作家による同名の小説を原作とし、日本語に翻訳されました。
34,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹。彼は1949年に生まれ、日本の作家です。『騎士団長殺し』は彼の最高傑作とされています。彼は多くの賞を受賞し、世界的なベストセラーとなりました。彼はまた、多数の映画化作品も手掛けています。
35,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹さんです。
36,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹
37,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹
38,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹
39,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹 騎士団長殺し、ノルウェイの森、1Q84などの著作で知られる日本の作家。彼の作品の多くは海外でも広く読まれています。
40,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹。彼は日本の小説家、英米文学研究者、ジャズ・ミュージシャンです。彼の作品は世界中で広く読まれています。
41,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹
42,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹。彼は日本の小説家、エッセイスト、そしてジャズ・ミュージシャンです。『騎士団長殺し』は、スペインの作家による世界的なベストセラーであり、ベストセラー小説の国際的な普及に重要な役割を果たしました。彼の作品は、スペインや日本を含む多数の国々で広く愛されています。
43,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹さんです。
44,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹。彼は日本の小説家、英米文学翻訳家、ジャズ評論家です。彼の作品は世界中で広く愛されています。『騎士団長殺し』は、スペインの作家による大作ミステリー小説であり、日本や中国など、多くの国々でも出版されています。彼の作品には、人間の心理や社会構造に対する深い洞察が含まれており、読者に強烈な印象を与えます。『ノルウェイの森』は、日本のシンガーソングライターである松山千春によってカバーされ、ベストセラーとなりました。
45,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹
46,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹
47,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹
48,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹
49,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹さんです。
50,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹さんです。
51,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹 騎士団長殺し(Kalle Skull)は、スペインの作家J.R.R.トールキンによる小説です。騎士団長殺しは、19世紀後半から20世紀初頭のスペインを舞台にした作品で、主人公は騎士団長のドン・カルロス・イダルゴ・デ・コンポステーラという人物です。騎士団長殺しは、スペイン内戦やスペイン内乱などのスペイン社会の暗い側面を描写しています。騎士団長殺しは、スペイン内戦やスペイン内乱など、スペイン社会の暗い側面を描いた小説として広く認知されています。
52,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹
53,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹 騎士団長殺しとは、スペインの田舎町で起こった連続猟奇殺人事件についてのミステリー小説です。この小説は、19世紀後半から20世紀初頭にかけてスペインに滞在したドイツ人作家、フランツ・カフカによって書かれました。彼は、この小説で重要な役割を果たしています。ノルウェイの森とは、ノルウェーの田舎町で起こった連続猟奇殺人事件についてのミステリー小説です。この小説は、19世紀後半から20世紀初頭にかけてノルウェーに滞在したドイツ人作家、トーマス・マンによって書かれました。
54,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹
55,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹 騎士団長殺し、ノルウェイの森、1Q84などの著作で知られる日本の作家。 騎士団長殺しは、若い女性の視点から語られるミステリー小説で、本の世界に閉じ込められた謎を解き明かすために、主人公が旅をする様子を描いています。 ノルウェイの森は、第二次世界大戦前に結核で亡くなった天才小説家・谷崎潤一郎による日本の小説で、美しい女性との恋愛や三角関係を描いています。
56,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹(むらかみはるき)。彼は日本の小説家、英米文学翻訳家です。『騎士団長殺し』は、スペインの田舎町を舞台にしたミステリー小説で、世界中でベストセラーとなりました。彼の作品は、現代社会や人間の心理を深く掘り下げています。
57,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹 騎士団長殺しは、スペインの作家による日本のミステリー小説です。騎士団長殺しは、第2部までが2009年9月に出版されました。騎士団長殺しは、スペイン・ハプスブルク帝国のスペイン内戦における日本陸軍の兵士の視点から描かれています。ノルウェイの森は、日本の小説家による日本のミステリー小説です。ノルウェイの森は、第二次世界大戦でのドイツとの激しい戦いに巻き込まれた日本の医学生の視点から描かれています。
58,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹。彼は日本の小説家、作家、エッセイストです。彼の作品は世界中で広く読まれています。『騎士団長殺し』は、スペインの作家による大作ファンタジー小説で、日本や中国など、世界中の多くの国々でベストセラーとなりました。また、彼は多数の賞を受賞しています。『ノルウェイの森』は、日本の作家によって書かれた人気のある恋愛小説で、世界的なベストセラーとなりました。
59,QA20CAPR-0005,『騎士団長殺し』『1Q84』『ノルウェイの森』といった小説の作者は誰でしょう?,村上春樹
60,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,ゴールキック(Goal Kick)と言います。
61,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,ゴールキック(goal kick)といいます。
62,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,ゴールキック(得点)。
63,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,ゴールキック(ゴールキック)とは、ボールをゴールに蹴り込むために、ゴールキーパーが蹴るシュートの一種です。サッカーでは、コーナーキックやフリーキックと同様に、ゴールキックも重要な得点源です。
64,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,ゴールキック(Goal-K)といいます。
65,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,ゴールキック。
66,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,ゴールキック(Goal-Kick)といいます。
67,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,ゴールキック(得点)。
68,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,ゴールキック(Goal Kick)といいます。
69,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,セットプレー(セットアップ)といいます。
70,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,ゴールキック。
71,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,ゴールキック(Goal Kick)といいます。
72,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,ゴールキック(goal kick)といいます。
73,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,オフサイドトラップ(offside trap)といいます。
74,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,ゴールキック(goal kick)と呼びます。
75,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,ゴールキック(Goal Kick)と言います。
76,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,ゴールキック(goal kick)またはタッチダウンパス(touchdown pass)。
77,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,ゴールキック(Goal kick)といいます。
78,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,オフサイドトラップ(offside trapping)といいます。
79,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,ゴールキック(goal kick)。
80,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,ゴールキック(goal kick)。
81,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,ゴールキック(goal kick)またはゴールキックオフ(goal kick-off)と呼ばれます。
82,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,ゴールキック(Goal-K)またはゴールキックオフ(Goal-Koffee)といいます。
83,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,ゴールキック(goal kick)。
84,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,ゴールキック(Goal Kick)といいます。
85,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,ゴールキック。
86,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,ゴールキック(Goal kick)またはゴールキックオフ(Goal kick off)と言います。
87,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,キッキングゲーム(得点機)といいます。
88,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,ゴールキック(goal kick)といいます。
89,QA20CAPR-0007,サッカーで、コーナーキックやフリーキックのようにボールを止めた状態から始めるプレーのことを何というでしょう?,ゴールキック。
90,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン
91,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン
92,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン
93,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン。
94,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン。
95,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン
96,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン。
97,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン。
98,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン。
99,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン
100,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン。
101,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン
102,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン。
103,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン
104,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン」と呼びます。
105,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン。
106,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン。
107,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン
108,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン。
109,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン
110,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン。
111,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン(Big Bang)」と呼びます。
112,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン
113,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン
114,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン
115,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン。
116,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン。
117,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン理論
118,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン
119,QA20CAPR-0009,今から約140億年前に起こったとされる、宇宙の始まりの大爆発のことを何というでしょう?,ビッグバン
120,QA20CAPR-0011,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,粘性抵抗力(ねばっこり)
121,QA20CAPR-0011,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,粘性抵抗力(ねばっこり)
122,QA20CAPR-0011,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,粘性抵抗力(粘着力)
123,QA20CAPR-0011,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,粘性抵抗力(ねばっこり)
124,QA20CAPR-0011,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,粘性抵抗力(ねばっこり)
125,QA20CAPR-0011,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,粘性抵抗力 流体力学 粘性抵抗力 粘性抵抗力 流体力学 粘性抵抗力 粘性抵抗力 粘性抵抗力 粘性抵抗力 粘性抵抗力 粘性抵抗力 粘性抵抗力 粘性抵抗力 粘性抵抗力 粘性抵抗力 粘性抵抗力 粘性抵抗力 粘性抵抗力 粘性抵抗力 粘性抵抗力 粘性抵抗力 粘性抵抗力 粘性抵抗力 粘性抵抗力 粘性抵抗力 粘性抵抗力 粘性
126,QA20CAPR-0011,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,粘性抵抗力(ねばっこいりょく)
127,QA20CAPR-0011,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,粘性抵抗力 流体力学において、粘性抵抗とは、流体に作用する抵抗力であり、運動量保存則によって規定されます。アメンボは、水の表面張力と粘着性の両方を利用して、水中での運動量保存則を維持しています。
128,QA20CAPR-0011,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,摩擦力 アメンボは、水の表面張力に抗して運動するために、微小な流体粒子(微小気泡)の集団によって駆動されます。この運動は、液体中の微小な粒子の集団による粘性抵抗によって推進されます。
129,QA20CAPR-0011,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,粘性抵抗力(ねばっこり)
130,QA20CAPR-0011,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,粘性抵抗力(ねばっこいりょく)
131,QA20CAPR-0011,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,摩擦力 アメンボは、水の表面張力によって推進されます。これにより、物体は流体に押し付けられ、抵抗を受けます。この運動により、物体は流体から浮き上がります。
132,QA20CAPR-0011,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,粘性抵抗力(ねばっこり)
133,QA20CAPR-0011,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,粘性抵抗力 流体力学において、粘性とは、物体間の相互作用によって生じる表面張力であり、摩擦や剪断などの外部要因によらず一定です。 アメンボは、水の表面張力を利用して滑空することができます。
134,QA20CAPR-0011,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,粘性抵抗力(ねばっこい)
135,QA20CAPR-0011,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,粘性抵抗力(ねばっこり)
136,QA20CAPR-0011,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,粘性抵抗力 流体力学において、粘性とは、流体の表面張力によって生じる抵抗力です。物体に作用する流体の運動エネルギーは、その物体の質量に比例します。物体の運動量と周囲の流体の運動量は等しく、したがって、物体の運動量の変化は、周囲の流体の運動量の変化に比例します。液体が周囲の流体よりも密度が高い場合、粘性抵抗力が生じます。
137,QA20CAPR-0011,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,粘性抵抗力(ねばっこい)
138,QA20CAPR-0011,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,粘性抵抗力(ねばっこいりょく)
139,QA20CAPR-0011,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,粘性抵抗力(ねばっこい)
140,QA20CAPR-0011,アメンボが水の上をすべることができるのはこの力を利用しているからである、液体がその表面積をできるだけ小さく保とうとする力を何というでしょう?,粘性抵抗力(ねばっこり)
